Istasyon_No|Istasyon_Adi|YIL|AY|TOPLAM_GUNESLENME_SURESI
17186|MAN?SA|1975|7|383.1
17186|MAN?SA|1975|8|320.7
17186|MAN?SA|1975|9|291.5
17186|MAN?SA|1975|10|206.9
17186|MAN?SA|1975|11|119.1
17186|MAN?SA|1975|12|100.8
17186|MAN?SA|1975|13|2532.0
17186|MAN?SA|1976|1|114.4
17186|MAN?SA|1976|2|118.4
17186|MAN?SA|1976|3|151.8
17186|MAN?SA|1976|4|173.0
17186|MAN?SA|1976|5|263.6
17186|MAN?SA|1976|6|345.1
17186|MAN?SA|1976|7|363.9
17186|MAN?SA|1976|8|307.4
17186|MAN?SA|1976|9|306.9
17186|MAN?SA|1976|10|179.3
17186|MAN?SA|1976|11|99.2
17186|MAN?SA|1976|12|78.5
17186|MAN?SA|1976|13|2501.5
17186|MAN?SA|1977|1|87.4
17186|MAN?SA|1977|2|108.6
17186|MAN?SA|1977|3|169.7
17186|MAN?SA|1977|4|220.1
17186|MAN?SA|1977|5|333.7
17186|MAN?SA|1977|6|340.5
17186|MAN?SA|1977|7|370.9
17186|MAN?SA|1977|8|356.2
17186|MAN?SA|1977|9|238.4
17186|MAN?SA|1977|10|216.7
17186|MAN?SA|1977|11|128.2
17186|MAN?SA|1977|12|68.2
17186|MAN?SA|1977|13|2638.6
17186|MAN?SA|1978|1|59.1
17186|MAN?SA|1978|2|76.2
17186|MAN?SA|1978|3|146.6
17186|MAN?SA|1978|4|183.6
17186|MAN?SA|1978|5|290.4
17186|MAN?SA|1978|6|363.2
17186|MAN?SA|1978|7|381.4
17186|MAN?SA|1978|8|339.7
17186|MAN?SA|1978|9|239.9
17186|MAN?SA|1978|10|177.7
17186|MAN?SA|1978|11|173.7
17186|MAN?SA|1978|12|72.6
17186|MAN?SA|1978|13|2504.1
17186|MAN?SA|1979|1|65.4
17186|MAN?SA|1979|2|104.6
17186|MAN?SA|1979|3|196.5
17186|MAN?SA|1979|4|188.8
17186|MAN?SA|1979|5|215.0
17186|MAN?SA|1979|6|316.9
17186|MAN?SA|1979|7|354.7
17186|MAN?SA|1979|8|325.5
17186|MAN?SA|1979|9|290.6
17186|MAN?SA|1979|10|163.8
17186|MAN?SA|1979|11|102.7
17186|MAN?SA|1979|12|47.3
17186|MAN?SA|1979|13|2371.8
17186|MAN?SA|1980|1|67.5
17186|MAN?SA|1980|2|93.2
17186|MAN?SA|1980|3|150.1
17186|MAN?SA|1980|4|186.2
17186|MAN?SA|1980|5|233.8
17186|MAN?SA|1980|6|295.2
17186|MAN?SA|1980|7|378.9
17186|MAN?SA|1980|8|325.7
17186|MAN?SA|1980|9|273.4
17186|MAN?SA|1980|10|204.7
17186|MAN?SA|1980|11|121.8
17186|MAN?SA|1980|12|81.0
17186|MAN?SA|1980|13|2411.5
17186|MAN?SA|1981|1|29.7
17186|MAN?SA|1981|2|95.6
17186|MAN?SA|1981|3|181.0
17186|MAN?SA|1981|4|234.6
17186|MAN?SA|1981|5|239.6
17186|MAN?SA|1981|6|336.8
17186|MAN?SA|1981|7|339.0
17186|MAN?SA|1981|8|344.7
17186|MAN?SA|1981|9|290.7
17186|MAN?SA|1981|10|222.3
17186|MAN?SA|1981|11|132.8
17186|MAN?SA|1981|12|48.2
17186|MAN?SA|1981|13|2495.0
17186|MAN?SA|1982|1|100.1
17186|MAN?SA|1982|2|74.7
17186|MAN?SA|1982|3|154.1
17186|MAN?SA|1982|4|168.4
17186|MAN?SA|1982|5|239.6
17186|MAN?SA|1982|6|339.3
17186|MAN?SA|1982|7|344.3
17186|MAN?SA|1982|8|333.4
17186|MAN?SA|1982|9|293.2
17186|MAN?SA|1982|10|221.7
17186|MAN?SA|1982|11|144.2
17186|MAN?SA|1982|12|69.0
17186|MAN?SA|1982|13|2482.0
17186|MAN?SA|1983|1|103.3
17186|MAN?SA|1983|2|78.3
17186|MAN?SA|1983|3|171.3
17186|MAN?SA|1983|4|212.4
17186|MAN?SA|1983|5|226.8
17186|MAN?SA|1983|6|286.1
17186|MAN?SA|1983|7|304.5
17186|MAN?SA|1983|8|319.4
17186|MAN?SA|1983|9|253.0
17186|MAN?SA|1983|10|213.0
17186|MAN?SA|1983|11|78.7
17186|MAN?SA|1983|12|46.0
17186|MAN?SA|1983|13|2292.8
17186|MAN?SA|1984|1|69.9
17186|MAN?SA|1984|2|69.1
17186|MAN?SA|1984|3|107.1
17186|MAN?SA|1984|4|142.2
17186|MAN?SA|1984|5|271.7
17186|MAN?SA|1984|6|338.3
17186|MAN?SA|1984|7|340.1
17186|MAN?SA|1984|8|323.4
17186|MAN?SA|1984|9|304.6
17186|MAN?SA|1984|10|249.1
17186|MAN?SA|1984|11|109.0
17186|MAN?SA|1984|12|100.4
17186|MAN?SA|1984|13|2424.9
17186|MAN?SA|1985|1|73.0
17186|MAN?SA|1985|2|109.0
17186|MAN?SA|1985|3|141.8
17186|MAN?SA|1985|4|221.5
17186|MAN?SA|1985|5|261.2
17186|MAN?SA|1985|6|360.1
17186|MAN?SA|1985|7|369.8
17186|MAN?SA|1985|8|346.8
17186|MAN?SA|1985|9|301.6
17186|MAN?SA|1985|10|194.5
17186|MAN?SA|1985|11|111.4
17186|MAN?SA|1985|12|71.8
17186|MAN?SA|1985|13|2562.5
17186|MAN?SA|1986|1|72.2
17186|MAN?SA|1986|2|88.4
17186|MAN?SA|1986|3|167.5
17186|MAN?SA|1986|4|257.1
17186|MAN?SA|1986|5|318.0
17186|MAN?SA|1986|6|293.9
17186|MAN?SA|1986|7|361.3
17186|MAN?SA|1986|8|338.0
17186|MAN?SA|1986|9|267.5
17186|MAN?SA|1986|10|200.7
17186|MAN?SA|1986|11|157.0
17186|MAN?SA|1986|12|93.5
17186|MAN?SA|1986|13|2615.1
17186|MAN?SA|1987|1|60.5
17186|MAN?SA|1987|2|95.5
17186|MAN?SA|1987|3|145.9
17186|MAN?SA|1987|4|184.6
17186|MAN?SA|1987|5|279.9
17186|MAN?SA|1987|6|340.8
17186|MAN?SA|1987|7|348.2
17186|MAN?SA|1987|8|342.1
17186|MAN?SA|1987|9|293.8
17186|MAN?SA|1987|10|192.9
17186|MAN?SA|1987|11|93.0
17186|MAN?SA|1987|12|52.2
17186|MAN?SA|1987|13|2429.4
17186|MAN?SA|1988|1|77.7
17186|MAN?SA|1988|2|90.0
17186|MAN?SA|1988|3|135.8
17186|MAN?SA|1988|4|147.5
17186|MAN?SA|1988|5|266.8
17186|MAN?SA|1988|6|302.9
17186|MAN?SA|1988|7|356.3
17186|MAN?SA|1988|8|338.8
17186|MAN?SA|1988|9|290.0
17186|MAN?SA|1988|10|202.0
17186|MAN?SA|1988|11|101.1
17186|MAN?SA|1988|12|53.3
17186|MAN?SA|1988|13|2362.2
17186|MAN?SA|1989|1|167.6
17186|MAN?SA|1989|2|182.7
17186|MAN?SA|1989|3|167.4
17186|MAN?SA|1989|4|257.0
17186|MAN?SA|1989|5|261.8
17186|MAN?SA|1989|6|317.4
17186|MAN?SA|1989|7|363.5
17186|MAN?SA|1989|8|335.1
17186|MAN?SA|1989|9|291.3
17186|MAN?SA|1989|10|195.6
17186|MAN?SA|1989|11|95.0
17186|MAN?SA|1989|12|62.6
17186|MAN?SA|1989|13|2697.0
17186|MAN?SA|1990|1|133.6
17186|MAN?SA|1990|2|144.1
17186|MAN?SA|1990|3|278.3
17186|MAN?SA|1990|4|193.9
17186|MAN?SA|1990|5|278.5
17186|MAN?SA|1990|6|322.3
17186|MAN?SA|1990|7|355.1
17186|MAN?SA|1990|8|333.0
17186|MAN?SA|1990|9|276.4
17186|MAN?SA|1990|10|227.0
17186|MAN?SA|1990|11|139.7
17186|MAN?SA|1990|12|80.5
17186|MAN?SA|1990|13|2762.4
17186|MAN?SA|1991|1|75.4
17186|MAN?SA|1991|2|97.2
17186|MAN?SA|1991|3|169.8
17186|MAN?SA|1991|4|189.4
17186|MAN?SA|1991|5|218.6
17186|MAN?SA|1991|6|343.2
17186|MAN?SA|1991|7|351.2
17186|MAN?SA|1991|8|319.7
17186|MAN?SA|1991|9|279.8
17186|MAN?SA|1991|10|166.3
17186|MAN?SA|1991|11|129.6
17186|MAN?SA|1991|12|55.9
17186|MAN?SA|1991|13|2396.1
17186|MAN?SA|1992|1|143.0
17186|MAN?SA|1992|2|145.7
17186|MAN?SA|1992|3|156.2
17186|MAN?SA|1992|4|214.4
17186|MAN?SA|1992|5|259.7
17186|MAN?SA|1992|6|266.1
17186|MAN?SA|1992|7|320.1
17186|MAN?SA|1992|8|317.9
17186|MAN?SA|1992|9|301.5
17186|MAN?SA|1992|10|216.5
17186|MAN?SA|1992|11|138.3
17186|MAN?SA|1992|12|91.8
17186|MAN?SA|1992|13|2571.2
17186|MAN?SA|1993|1|117.4
17186|MAN?SA|1993|2|116.9
17186|MAN?SA|1993|3|219.2
17186|MAN?SA|1993|4|195.6
17186|MAN?SA|1993|5|234.1
17186|MAN?SA|1993|6|339.5
17186|MAN?SA|1993|7|364.2
17186|MAN?SA|1993|8|342.0
17186|MAN?SA|1993|9|302.6
17186|MAN?SA|1993|10|248.5
17186|MAN?SA|1993|11|107.9
17186|MAN?SA|1993|12|85.8
17186|MAN?SA|1993|13|2673.7
17186|MAN?SA|1994|1|85.9
17186|MAN?SA|1994|2|95.8
17186|MAN?SA|1994|3|206.6
17186|MAN?SA|1994|4|248.9
17186|MAN?SA|1994|5|295.1
17186|MAN?SA|1994|6|322.6
17186|MAN?SA|1994|7|357.8
17186|MAN?SA|1994|8|346.9
17186|MAN?SA|1994|9|299.2
17186|MAN?SA|1994|10|188.5
17186|MAN?SA|1994|11|124.8
17186|MAN?SA|1994|12|62.6
17186|MAN?SA|1994|13|2634.7
17186|MAN?SA|1995|1|82.2
17186|MAN?SA|1995|2|164.7
17186|MAN?SA|1995|3|177.6
17186|MAN?SA|1995|4|239.5
17186|MAN?SA|1995|5|298.9
17186|MAN?SA|1995|6|353.2
17186|MAN?SA|1995|7|343.8
17186|MAN?SA|1995|8|343.3
17186|MAN?SA|1995|9|274.4
17186|MAN?SA|1995|10|244.0
17186|MAN?SA|1995|11|110.2
17186|MAN?SA|1995|12|72.3
17186|MAN?SA|1995|13|2704.1
17186|MAN?SA|1996|1|79.9
17186|MAN?SA|1996|2|79.4
17186|MAN?SA|1996|3|134.3
17186|MAN?SA|1996|4|232.1
17186|MAN?SA|1996|5|277.6
17186|MAN?SA|1996|6|344.8
17186|MAN?SA|1996|7|356.7
17186|MAN?SA|1996|8|338.4
17186|MAN?SA|1996|9|243.6
17186|MAN?SA|1996|10|189.3
17186|MAN?SA|1996|11|163.5
17186|MAN?SA|1996|12|69.2
17186|MAN?SA|1996|13|2508.8
17186|MAN?SA|1997|1|125.1
17186|MAN?SA|1997|2|149.6
17186|MAN?SA|1997|3|216.0
17186|MAN?SA|1997|4|165.9
17186|MAN?SA|1997|5|322.3
17186|MAN?SA|1997|6|298.1
17186|MAN?SA|1997|7|349.1
17186|MAN?SA|1997|8|286.7
17186|MAN?SA|1997|9|285.6
17186|MAN?SA|1997|10|178.1
17186|MAN?SA|1997|11|105.1
17186|MAN?SA|1997|12|70.7
17186|MAN?SA|1997|13|2552.3
17186|MAN?SA|1998|1|96.1
17186|MAN?SA|1998|2|151.8
17186|MAN?SA|1998|3|141.4
17186|MAN?SA|1998|4|213.5
17186|MAN?SA|1998|5|192.0
17186|MAN?SA|1998|6|324.9
17186|MAN?SA|1998|7|363.9
17186|MAN?SA|1998|8|345.7
17186|MAN?SA|1998|9|272.3
17186|MAN?SA|1998|10|224.4
17186|MAN?SA|1998|11|113.4
17186|MAN?SA|1998|12|67.2
17186|MAN?SA|1998|13|2506.6
17186|MAN?SA|1999|1|89.9
17186|MAN?SA|1999|2|99.9
17186|MAN?SA|1999|3|185.3
17186|MAN?SA|1999|4|231.9
17186|MAN?SA|1999|5|301.6
17186|MAN?SA|1999|6|323.6
17186|MAN?SA|1999|7|346.7
17186|MAN?SA|1999|8|329.0
17186|MAN?SA|1999|9|271.8
17186|MAN?SA|1999|10|216.3
17186|MAN?SA|1999|11|116.2
17186|MAN?SA|1999|12|83.1
17186|MAN?SA|1999|13|2595.3
17186|MAN?SA|2000|1|97.0
17186|MAN?SA|2000|2|149.6
17186|MAN?SA|2000|3|206.4
17186|MAN?SA|2000|4|188.6
17186|MAN?SA|2000|5|297.4
17186|MAN?SA|2000|6|330.2
17186|MAN?SA|2000|7|361.0
17186|MAN?SA|2000|8|337.6
17186|MAN?SA|2000|9|289.7
17186|MAN?SA|2000|10|192.8
17186|MAN?SA|2000|11|134.5
17186|MAN?SA|2000|12|93.5
17186|MAN?SA|2000|13|2678.3
17186|MAN?SA|2001|1|78.4
17186|MAN?SA|2001|2|118.3
17186|MAN?SA|2001|3|204.9
17186|MAN?SA|2001|4|195.4
17186|MAN?SA|2001|5|259.3
17186|MAN?SA|2001|6|348.3
17186|MAN?SA|2001|7|362.2
17186|MAN?SA|2001|8|327.0
17186|MAN?SA|2001|9|289.9
17186|MAN?SA|2001|10|264.2
17186|MAN?SA|2001|11|100.7
17186|MAN?SA|2001|12|40.3
17186|MAN?SA|2001|13|2588.9
17186|MAN?SA|2002|1|115.0
17186|MAN?SA|2002|2|134.3
17186|MAN?SA|2002|3|127.6
17186|MAN?SA|2002|4|173.0
17186|MAN?SA|2002|5|308.9
17186|MAN?SA|2002|6|326.8
17186|MAN?SA|2002|7|330.1
17186|MAN?SA|2002|8|312.1
17186|MAN?SA|2002|9|206.9
17186|MAN?SA|2002|10|195.7
17186|MAN?SA|2002|11|134.8
17186|MAN?SA|2002|12|66.1
17186|MAN?SA|2002|13|2431.3
17186|MAN?SA|2003|1|67.6
17186|MAN?SA|2003|2|78.7
17186|MAN?SA|2003|3|182.9
17186|MAN?SA|2003|4|165.6
17186|MAN?SA|2003|5|284.1
17186|MAN?SA|2003|6|348.1
17186|MAN?SA|2003|7|360.8
17186|MAN?SA|2003|8|341.3
17186|MAN?SA|2003|9|251.2
17186|MAN?SA|2003|10|199.9
17186|MAN?SA|2003|11|107.9
17186|MAN?SA|2003|12|35.6
17186|MAN?SA|2003|13|2423.7
17186|MAN?SA|2004|1|62.6
17186|MAN?SA|2004|2|113.5
17186|MAN?SA|2004|3|190.6
17186|MAN?SA|2004|4|179.3
17186|MAN?SA|2004|5|245.0
17186|MAN?SA|2004|6|315.9
17186|MAN?SA|2004|7|360.0
17186|MAN?SA|2004|8|318.8
17186|MAN?SA|2004|9|285.6
17186|MAN?SA|2004|10|230.8
17186|MAN?SA|2004|11|120.7
17186|MAN?SA|2004|12|78.0
17186|MAN?SA|2004|13|2500.8
17186|MAN?SA|2005|1|85.2
17186|MAN?SA|2005|2|83.2
17186|MAN?SA|2005|3|165.1
17186|MAN?SA|2005|4|219.7
17186|MAN?SA|2005|5|249.7
17186|MAN?SA|2005|6|330.4
17186|MAN?SA|2005|7|341.6
17186|MAN?SA|2005|8|330.6
17186|MAN?SA|2005|9|265.0
17186|MAN?SA|2005|10|196.8
17186|MAN?SA|2005|11|102.5
17186|MAN?SA|2005|12|75.6
17186|MAN?SA|2005|13|2445.4
17186|MAN?SA|2006|1|75.8
17186|MAN?SA|2006|2|82.0
17186|MAN?SA|2006|3|155.0
17186|MAN?SA|2006|4|187.3
17186|MAN?SA|2006|5|308.8
17186|MAN?SA|2006|6|309.6
17186|MAN?SA|2006|7|346.0
17186|MAN?SA|2006|8|337.1
17186|MAN?SA|2006|9|245.1
17186|MAN?SA|2006|10|149.1
17186|MAN?SA|2006|11|139.9
17186|MAN?SA|2006|12|80.7
17186|MAN?SA|2006|13|2416.4
17186|MAN?SA|2007|1|66.3
17186|MAN?SA|2007|2|41.2
17186|MAN?SA|2007|3|26.6
17186|MAN?SA|2007|4|22.5
17186|MAN?SA|2007|5|37.1
17186|MAN?SA|2007|6|175.0
17186|MAN?SA|2007|7|145.1
17186|MAN?SA|2007|8|280.3
17186|MAN?SA|2007|9|160.5
17186|MAN?SA|2007|10|98.5
17186|MAN?SA|2007|11|71.3
17186|MAN?SA|2007|12|98.3
17186|MAN?SA|2007|13|1222.7
17186|MAN?SA|2008|1|123.7
17186|MAN?SA|2008|2|134.9
17186|MAN?SA|2008|3|173.5
17186|MAN?SA|2008|4|159.5
17186|MAN?SA|2008|5|277.9
17186|MAN?SA|2008|6|321.0
17186|MAN?SA|2008|7|343.3
17186|MAN?SA|2008|8|320.7
17186|MAN?SA|2008|9|235.8
17186|MAN?SA|2008|10|217.4
17186|MAN?SA|2008|11|130.7
17186|MAN?SA|2008|12|43.9
17186|MAN?SA|2008|13|2482.3
17186|MAN?SA|2009|3|76.3
17186|MAN?SA|2009|4|86.4
17186|MAN?SA|2009|5|201.8
17186|MAN?SA|2009|6|313.5
17186|MAN?SA|2009|7|322.2
17186|MAN?SA|2009|8|328.6
17186|MAN?SA|2009|9|231.8
17186|MAN?SA|2009|10|186.5
17186|MAN?SA|2009|11|119.7
17186|MAN?SA|2009|12|10.6
17186|MAN?SA|2009|13|1877.4
17186|MAN?SA|2010|2|8.1
17186|MAN?SA|2010|3|125.3
17186|MAN?SA|2010|4|208.4
17186|MAN?SA|2010|5|282.0
17186|MAN?SA|2010|6|242.1
17186|MAN?SA|2010|10|81.4
17186|MAN?SA|2010|11|45.7
17186|MAN?SA|2010|13|993.0
17186|MAN?SA|2011|1|3.9
17186|MAN?SA|2011|2|51.0
17186|MAN?SA|2011|3|99.0
17186|MAN?SA|2011|4|27.4
17186|MAN?SA|2011|5|12.2
17186|MAN?SA|2011|6|8.0
17186|MAN?SA|2011|7|348.1
17186|MAN?SA|2011|8|319.4
17186|MAN?SA|2011|9|261.4
17186|MAN?SA|2011|10|198.4
17186|MAN?SA|2011|11|159.1
17186|MAN?SA|2011|12|71.4
17186|MAN?SA|2011|13|1559.3
17186|MAN?SA|2012|1|43.4
17186|MAN?SA|2012|2|33.2
17186|MAN?SA|2012|3|31.7
17186|MAN?SA|2012|4|10.6
17186|MAN?SA|2012|5|23.6
17186|MAN?SA|2012|6|12.3
17186|MAN?SA|2012|7|0.0
17186|MAN?SA|2012|8|0.0
17186|MAN?SA|2012|9|0.0
17186|MAN?SA|2012|10|0.0
17186|MAN?SA|2012|11|0.0
17186|MAN?SA|2012|12|0.0
17186|MAN?SA|2012|13|154.8
17186|MAN?SA|2013|1|0.0
17186|MAN?SA|2013|2|8.2
17186|MAN?SA|2013|3|28.9
17186|MAN?SA|2013|4|16.5
17186|MAN?SA|2013|5|31.6
17186|MAN?SA|2013|6|0.0
17186|MAN?SA|2013|7|0.0
17186|MAN?SA|2013|8|0.0
17186|MAN?SA|2013|9|0.0
17186|MAN?SA|2013|10|0.0
17186|MAN?SA|2013|11|0.0
17186|MAN?SA|2013|12|0.0
17186|MAN?SA|2013|13|85.2
17186|MAN?SA|2014|1|0.0
17186|MAN?SA|2014|2|0.0
17186|MAN?SA|2014|3|0.0
17186|MAN?SA|2014|4|0.0
17186|MAN?SA|2014|5|0.0
17186|MAN?SA|2014|6|0.0
17186|MAN?SA|2014|7|0.0
17186|MAN?SA|2014|8|0.0
17186|MAN?SA|2014|9|0.0
17186|MAN?SA|2014|10|0.0
17186|MAN?SA|2014|11|0.0
17186|MAN?SA|2014|12|0.0
17186|MAN?SA|2014|13|0.0
17186|MAN?SA|2015|1|0.0
17186|MAN?SA|2015|2|0.0
17186|MAN?SA|2015|3|0.0
17186|MAN?SA|2015|4|3.6
17186|MAN?SA|2015|5|8.4
17186|MAN?SA|2015|6|0.0
17186|MAN?SA|2015|7|0.0
17186|MAN?SA|2015|8|0.0
17186|MAN?SA|2015|9|0.0
17186|MAN?SA|2015|10|0.0
17186|MAN?SA|2015|11|0.0
17186|MAN?SA|2015|12|0.0
17186|MAN?SA|2015|13|12.0
17186|MAN?SA|2017|1|83.4
17186|MAN?SA|2017|2|113.5
17186|MAN?SA|2017|3|170.8
17186|MAN?SA|2017|4|222.9
17186|MAN?SA|2017|5|240.3
17186|MAN?SA|2017|6|274.7
17186|MAN?SA|2017|7|335.7
17186|MAN?SA|2017|8|295.8
17186|MAN?SA|2017|9|258.9
17186|MAN?SA|2017|10|207.4
17186|MAN?SA|2017|11|122.8
17186|MAN?SA|2017|12|69.1
17186|MAN?SA|2017|13|2395.3
17186|MAN?SA|2018|1|76.6
17186|MAN?SA|2018|2|64.7
17186|MAN?SA|2018|3|161.9
17186|MAN?SA|2018|4|239.7
17186|MAN?SA|2018|5|230.9
17186|MAN?SA|2018|6|269.3
17186|MAN?SA|2018|7|328.5
17186|MAN?SA|2018|8|304.1
17186|MAN?SA|2018|9|237.8
17186|MAN?SA|2018|10|192.5
17186|MAN?SA|2018|11|94.2
17186|MAN?SA|2018|12|55.6
17186|MAN?SA|2018|13|2255.8
17186|MAN?SA|2019|1|35.1
17186|MAN?SA|2019|2|112.7
17186|MAN?SA|2019|3|211.9
17186|MAN?SA|2019|4|195.6
17186|MAN?SA|2019|5|247.0
17186|MAN?SA|2019|6|281.0
17186|MAN?SA|2019|7|333.4
17186|MAN?SA|2019|8|377.5
17186|MAN?SA|2019|9|305.0
17186|MAN?SA|2019|10|240.6
17186|MAN?SA|2019|11|126.6
17186|MAN?SA|2019|12|85.9
17186|MAN?SA|2019|13|2552.3
17186|MAN?SA|2020|1|136.7
17186|MAN?SA|2020|2|154.6
17186|MAN?SA|2020|3|177.8
17186|MAN?SA|2020|4|243.1
17186|MAN?SA|2020|5|280.4
17186|MAN?SA|2020|6|323.5
17186|MAN?SA|2020|7|329.5
17186|MAN?SA|2020|8|282.5
17186|MAN?SA|2020|9|265.0
17186|MAN?SA|2020|10|189.4
17186|MAN?SA|2020|11|128.4
17186|MAN?SA|2020|12|45.2
17186|MAN?SA|2020|13|2556.1
17186|MAN?SA|2021|1|46.7
17186|MAN?SA|2021|2|133.7
17186|MAN?SA|2021|3|165.0
17186|MAN?SA|2021|4|155.6
17186|MAN?SA|2021|5|276.0
17186|MAN?SA|2021|6|243.9
17227|AYDIN ?ILDIR HAVAL?MANI|2010|5|0.6
17227|AYDIN ?ILDIR HAVAL?MANI|2010|6|163.7
17227|AYDIN ?ILDIR HAVAL?MANI|2010|7|209.0
17227|AYDIN ?ILDIR HAVAL?MANI|2010|8|106.3
