Istasyon_No|Istasyon_Adi|YIL|AY|GUNLUK_TOPLAM_GUNESLENME_SURESI_AYLIK_ORTALAMASI
17186|MAN?SA|1975|6|9.9
17186|MAN?SA|1975|7|12.4
17186|MAN?SA|1975|8|10.3
17186|MAN?SA|1975|9|9.7
17186|MAN?SA|1975|10|6.7
17186|MAN?SA|1975|11|4.0
17186|MAN?SA|1975|12|3.3
17186|MAN?SA|1975|13|6.9
17186|MAN?SA|1976|1|3.7
17186|MAN?SA|1976|2|4.1
17186|MAN?SA|1976|3|4.9
17186|MAN?SA|1976|4|5.8
17186|MAN?SA|1976|5|8.5
17186|MAN?SA|1976|6|11.5
17186|MAN?SA|1976|7|11.7
17186|MAN?SA|1976|8|9.9
17186|MAN?SA|1976|9|10.2
17186|MAN?SA|1976|10|5.8
17186|MAN?SA|1976|11|3.3
17186|MAN?SA|1976|12|2.5
17186|MAN?SA|1976|13|6.8
17186|MAN?SA|1977|1|2.8
17186|MAN?SA|1977|2|3.9
17186|MAN?SA|1977|3|5.5
17186|MAN?SA|1977|4|7.3
17186|MAN?SA|1977|5|10.8
17186|MAN?SA|1977|6|11.4
17186|MAN?SA|1977|7|12.0
17186|MAN?SA|1977|8|11.5
17186|MAN?SA|1977|9|7.9
17186|MAN?SA|1977|10|7.0
17186|MAN?SA|1977|11|4.3
17186|MAN?SA|1977|12|2.2
17186|MAN?SA|1977|13|7.2
17186|MAN?SA|1978|1|1.9
17186|MAN?SA|1978|2|2.7
17186|MAN?SA|1978|3|4.7
17186|MAN?SA|1978|4|6.1
17186|MAN?SA|1978|5|9.4
17186|MAN?SA|1978|6|12.1
17186|MAN?SA|1978|7|12.3
17186|MAN?SA|1978|8|11.0
17186|MAN?SA|1978|9|8.0
17186|MAN?SA|1978|10|5.7
17186|MAN?SA|1978|11|5.8
17186|MAN?SA|1978|12|2.3
17186|MAN?SA|1978|13|6.9
17186|MAN?SA|1979|1|2.1
17186|MAN?SA|1979|2|3.7
17186|MAN?SA|1979|3|6.3
17186|MAN?SA|1979|4|6.3
17186|MAN?SA|1979|5|6.9
17186|MAN?SA|1979|6|10.6
17186|MAN?SA|1979|7|11.4
17186|MAN?SA|1979|8|10.5
17186|MAN?SA|1979|9|9.7
17186|MAN?SA|1979|10|5.3
17186|MAN?SA|1979|11|3.4
17186|MAN?SA|1979|12|1.5
17186|MAN?SA|1979|13|6.5
17186|MAN?SA|1980|1|2.2
17186|MAN?SA|1980|2|3.2
17186|MAN?SA|1980|3|4.8
17186|MAN?SA|1980|4|6.2
17186|MAN?SA|1980|5|7.5
17186|MAN?SA|1980|6|9.8
17186|MAN?SA|1980|7|12.2
17186|MAN?SA|1980|8|10.5
17186|MAN?SA|1980|9|9.1
17186|MAN?SA|1980|10|6.6
17186|MAN?SA|1980|11|4.1
17186|MAN?SA|1980|12|2.6
17186|MAN?SA|1980|13|6.6
17186|MAN?SA|1981|1|1.0
17186|MAN?SA|1981|2|3.4
17186|MAN?SA|1981|3|5.8
17186|MAN?SA|1981|4|7.8
17186|MAN?SA|1981|5|7.7
17186|MAN?SA|1981|6|11.2
17186|MAN?SA|1981|7|10.9
17186|MAN?SA|1981|8|11.1
17186|MAN?SA|1981|9|9.7
17186|MAN?SA|1981|10|7.2
17186|MAN?SA|1981|11|4.4
17186|MAN?SA|1981|12|1.6
17186|MAN?SA|1981|13|6.8
17186|MAN?SA|1982|1|3.2
17186|MAN?SA|1982|2|2.7
17186|MAN?SA|1982|3|5.0
17186|MAN?SA|1982|4|5.6
17186|MAN?SA|1982|5|7.7
17186|MAN?SA|1982|6|11.3
17186|MAN?SA|1982|7|11.1
17186|MAN?SA|1982|8|10.8
17186|MAN?SA|1982|9|9.8
17186|MAN?SA|1982|10|7.2
17186|MAN?SA|1982|11|4.8
17186|MAN?SA|1982|12|2.2
17186|MAN?SA|1982|13|6.8
17186|MAN?SA|1983|1|3.3
17186|MAN?SA|1983|2|2.8
17186|MAN?SA|1983|3|5.5
17186|MAN?SA|1983|4|7.1
17186|MAN?SA|1983|5|7.3
17186|MAN?SA|1983|6|9.5
17186|MAN?SA|1983|7|9.8
17186|MAN?SA|1983|8|10.3
17186|MAN?SA|1983|9|8.4
17186|MAN?SA|1983|10|6.9
17186|MAN?SA|1983|11|2.6
17186|MAN?SA|1983|12|1.5
17186|MAN?SA|1983|13|6.3
17186|MAN?SA|1984|1|2.3
17186|MAN?SA|1984|2|2.4
17186|MAN?SA|1984|3|3.5
17186|MAN?SA|1984|4|4.7
17186|MAN?SA|1984|5|8.8
17186|MAN?SA|1984|6|11.3
17186|MAN?SA|1984|7|11.0
17186|MAN?SA|1984|8|10.4
17186|MAN?SA|1984|9|10.2
17186|MAN?SA|1984|10|8.0
17186|MAN?SA|1984|11|3.6
17186|MAN?SA|1984|12|3.2
17186|MAN?SA|1984|13|6.6
17186|MAN?SA|1985|1|2.4
17186|MAN?SA|1985|2|3.9
17186|MAN?SA|1985|3|4.6
17186|MAN?SA|1985|4|7.4
17186|MAN?SA|1985|5|8.4
17186|MAN?SA|1985|6|12.0
17186|MAN?SA|1985|7|11.9
17186|MAN?SA|1985|8|11.2
17186|MAN?SA|1985|9|10.1
17186|MAN?SA|1985|10|6.3
17186|MAN?SA|1985|11|3.7
17186|MAN?SA|1985|12|2.3
17186|MAN?SA|1985|13|7.0
17186|MAN?SA|1986|1|2.3
17186|MAN?SA|1986|2|3.2
17186|MAN?SA|1986|3|5.4
17186|MAN?SA|1986|4|8.6
17186|MAN?SA|1986|5|10.3
17186|MAN?SA|1986|6|9.8
17186|MAN?SA|1986|7|11.7
17186|MAN?SA|1986|8|10.9
17186|MAN?SA|1986|9|8.9
17186|MAN?SA|1986|10|6.5
17186|MAN?SA|1986|11|5.2
17186|MAN?SA|1986|12|3.0
17186|MAN?SA|1986|13|7.2
17186|MAN?SA|1987|1|2.0
17186|MAN?SA|1987|2|3.4
17186|MAN?SA|1987|3|4.7
17186|MAN?SA|1987|4|6.2
17186|MAN?SA|1987|5|9.0
17186|MAN?SA|1987|6|11.4
17186|MAN?SA|1987|7|11.2
17186|MAN?SA|1987|8|11.0
17186|MAN?SA|1987|9|9.8
17186|MAN?SA|1987|10|6.2
17186|MAN?SA|1987|11|3.1
17186|MAN?SA|1987|12|1.7
17186|MAN?SA|1987|13|6.7
17186|MAN?SA|1988|1|2.5
17186|MAN?SA|1988|2|3.1
17186|MAN?SA|1988|3|4.4
17186|MAN?SA|1988|4|4.9
17186|MAN?SA|1988|5|8.6
17186|MAN?SA|1988|6|10.1
17186|MAN?SA|1988|7|11.5
17186|MAN?SA|1988|8|10.9
17186|MAN?SA|1988|9|9.7
17186|MAN?SA|1988|10|6.5
17186|MAN?SA|1988|11|3.4
17186|MAN?SA|1988|12|1.7
17186|MAN?SA|1988|13|6.5
17186|MAN?SA|1989|1|5.4
17186|MAN?SA|1989|2|6.5
17186|MAN?SA|1989|3|5.4
17186|MAN?SA|1989|4|8.6
17186|MAN?SA|1989|5|8.4
17186|MAN?SA|1989|6|10.6
17186|MAN?SA|1989|7|11.7
17186|MAN?SA|1989|8|10.8
17186|MAN?SA|1989|9|9.7
17186|MAN?SA|1989|10|6.3
17186|MAN?SA|1989|11|3.2
17186|MAN?SA|1989|12|2.0
17186|MAN?SA|1989|13|7.4
17186|MAN?SA|1990|1|4.3
17186|MAN?SA|1990|2|5.1
17186|MAN?SA|1990|3|9.0
17186|MAN?SA|1990|4|6.5
17186|MAN?SA|1990|5|9.0
17186|MAN?SA|1990|6|10.7
17186|MAN?SA|1990|7|11.5
17186|MAN?SA|1990|8|10.7
17186|MAN?SA|1990|9|9.2
17186|MAN?SA|1990|10|7.3
17186|MAN?SA|1990|11|4.7
17186|MAN?SA|1990|12|2.6
17186|MAN?SA|1990|13|7.6
17186|MAN?SA|1991|1|2.4
17186|MAN?SA|1991|2|3.5
17186|MAN?SA|1991|3|5.5
17186|MAN?SA|1991|4|6.3
17186|MAN?SA|1991|5|7.1
17186|MAN?SA|1991|6|11.4
17186|MAN?SA|1991|7|11.3
17186|MAN?SA|1991|8|10.3
17186|MAN?SA|1991|9|9.3
17186|MAN?SA|1991|10|5.4
17186|MAN?SA|1991|11|4.3
17186|MAN?SA|1991|12|1.8
17186|MAN?SA|1991|13|6.6
17186|MAN?SA|1992|1|4.6
17186|MAN?SA|1992|2|5.0
17186|MAN?SA|1992|3|5.0
17186|MAN?SA|1992|4|7.1
17186|MAN?SA|1992|5|8.4
17186|MAN?SA|1992|6|8.9
17186|MAN?SA|1992|7|10.3
17186|MAN?SA|1992|8|10.3
17186|MAN?SA|1992|9|10.1
17186|MAN?SA|1992|10|7.0
17186|MAN?SA|1992|11|4.6
17186|MAN?SA|1992|12|3.0
17186|MAN?SA|1992|13|7.0
17186|MAN?SA|1993|1|3.8
17186|MAN?SA|1993|2|4.2
17186|MAN?SA|1993|3|7.1
17186|MAN?SA|1993|4|6.5
17186|MAN?SA|1993|5|7.6
17186|MAN?SA|1993|6|11.3
17186|MAN?SA|1993|7|11.7
17186|MAN?SA|1993|8|11.0
17186|MAN?SA|1993|9|10.1
17186|MAN?SA|1993|10|8.0
17186|MAN?SA|1993|11|3.6
17186|MAN?SA|1993|12|2.8
17186|MAN?SA|1993|13|7.3
17186|MAN?SA|1994|1|2.8
17186|MAN?SA|1994|2|3.4
17186|MAN?SA|1994|3|6.7
17186|MAN?SA|1994|4|8.3
17186|MAN?SA|1994|5|9.5
17186|MAN?SA|1994|6|10.8
17186|MAN?SA|1994|7|11.5
17186|MAN?SA|1994|8|11.2
17186|MAN?SA|1994|9|10.0
17186|MAN?SA|1994|10|6.1
17186|MAN?SA|1994|11|4.2
17186|MAN?SA|1994|12|2.0
17186|MAN?SA|1994|13|7.2
17186|MAN?SA|1995|1|2.7
17186|MAN?SA|1995|2|5.9
17186|MAN?SA|1995|3|5.7
17186|MAN?SA|1995|4|8.0
17186|MAN?SA|1995|5|9.6
17186|MAN?SA|1995|6|11.8
17186|MAN?SA|1995|7|11.1
17186|MAN?SA|1995|8|11.1
17186|MAN?SA|1995|9|9.1
17186|MAN?SA|1995|10|7.9
17186|MAN?SA|1995|11|3.7
17186|MAN?SA|1995|12|2.3
17186|MAN?SA|1995|13|7.4
17186|MAN?SA|1996|1|2.6
17186|MAN?SA|1996|2|2.7
17186|MAN?SA|1996|3|4.3
17186|MAN?SA|1996|4|7.7
17186|MAN?SA|1996|5|9.0
17186|MAN?SA|1996|6|11.5
17186|MAN?SA|1996|7|11.5
17186|MAN?SA|1996|8|10.9
17186|MAN?SA|1996|9|8.1
17186|MAN?SA|1996|10|6.1
17186|MAN?SA|1996|11|5.5
17186|MAN?SA|1996|12|2.2
17186|MAN?SA|1996|13|6.9
17186|MAN?SA|1997|1|4.0
17186|MAN?SA|1997|2|5.3
17186|MAN?SA|1997|3|7.0
17186|MAN?SA|1997|4|5.5
17186|MAN?SA|1997|5|10.4
17186|MAN?SA|1997|6|9.9
17186|MAN?SA|1997|7|11.3
17186|MAN?SA|1997|8|9.2
17186|MAN?SA|1997|9|9.5
17186|MAN?SA|1997|10|6.4
17186|MAN?SA|1997|11|3.5
17186|MAN?SA|1997|12|2.3
17186|MAN?SA|1997|13|7.1
17186|MAN?SA|1998|1|3.1
17186|MAN?SA|1998|2|5.4
17186|MAN?SA|1998|3|4.6
17186|MAN?SA|1998|4|7.1
17186|MAN?SA|1998|5|6.2
17186|MAN?SA|1998|6|10.8
17186|MAN?SA|1998|7|11.7
17186|MAN?SA|1998|8|11.2
17186|MAN?SA|1998|9|9.1
17186|MAN?SA|1998|10|7.2
17186|MAN?SA|1998|11|3.8
17186|MAN?SA|1998|12|2.2
17186|MAN?SA|1998|13|6.9
17186|MAN?SA|1999|1|2.9
17186|MAN?SA|1999|2|3.6
17186|MAN?SA|1999|3|6.0
17186|MAN?SA|1999|4|7.7
17186|MAN?SA|1999|5|9.7
17186|MAN?SA|1999|6|10.8
17186|MAN?SA|1999|7|11.2
17186|MAN?SA|1999|8|10.6
17186|MAN?SA|1999|9|9.1
17186|MAN?SA|1999|10|7.0
17186|MAN?SA|1999|11|3.9
17186|MAN?SA|1999|12|2.7
17186|MAN?SA|1999|13|7.1
17186|MAN?SA|2000|1|3.1
17186|MAN?SA|2000|2|5.2
17186|MAN?SA|2000|3|6.7
17186|MAN?SA|2000|4|6.3
17186|MAN?SA|2000|5|9.6
17186|MAN?SA|2000|6|11.0
17186|MAN?SA|2000|7|11.6
17186|MAN?SA|2000|8|10.9
17186|MAN?SA|2000|9|9.7
17186|MAN?SA|2000|10|6.2
17186|MAN?SA|2000|11|4.5
17186|MAN?SA|2000|12|3.0
17186|MAN?SA|2000|13|7.3
17186|MAN?SA|2001|1|2.5
17186|MAN?SA|2001|2|4.2
17186|MAN?SA|2001|3|6.6
17186|MAN?SA|2001|4|6.5
17186|MAN?SA|2001|5|8.4
17186|MAN?SA|2001|6|11.6
17186|MAN?SA|2001|7|11.7
17186|MAN?SA|2001|8|10.5
17186|MAN?SA|2001|9|9.7
17186|MAN?SA|2001|10|8.5
17186|MAN?SA|2001|11|3.4
17186|MAN?SA|2001|12|1.3
17186|MAN?SA|2001|13|7.1
17186|MAN?SA|2002|1|3.7
17186|MAN?SA|2002|2|5.0
17186|MAN?SA|2002|3|4.1
17186|MAN?SA|2002|4|5.8
17186|MAN?SA|2002|5|10.0
17186|MAN?SA|2002|6|10.9
17186|MAN?SA|2002|7|10.6
17186|MAN?SA|2002|8|10.1
17186|MAN?SA|2002|9|6.9
17186|MAN?SA|2002|10|6.3
17186|MAN?SA|2002|11|4.5
17186|MAN?SA|2002|12|2.1
17186|MAN?SA|2002|13|6.7
17186|MAN?SA|2003|1|2.2
17186|MAN?SA|2003|2|2.8
17186|MAN?SA|2003|3|5.9
17186|MAN?SA|2003|4|5.5
17186|MAN?SA|2003|5|9.2
17186|MAN?SA|2003|6|11.6
17186|MAN?SA|2003|7|11.6
17186|MAN?SA|2003|8|11.0
17186|MAN?SA|2003|9|8.4
17186|MAN?SA|2003|10|6.4
17186|MAN?SA|2003|11|3.6
17186|MAN?SA|2003|12|1.1
17186|MAN?SA|2003|13|6.6
17186|MAN?SA|2004|1|2.0
17186|MAN?SA|2004|2|3.9
17186|MAN?SA|2004|3|6.1
17186|MAN?SA|2004|4|6.0
17186|MAN?SA|2004|5|7.9
17186|MAN?SA|2004|6|10.5
17186|MAN?SA|2004|7|11.6
17186|MAN?SA|2004|8|10.3
17186|MAN?SA|2004|9|9.5
17186|MAN?SA|2004|10|7.4
17186|MAN?SA|2004|11|4.0
17186|MAN?SA|2004|12|2.5
17186|MAN?SA|2004|13|6.8
17186|MAN?SA|2005|1|2.7
17186|MAN?SA|2005|2|3.0
17186|MAN?SA|2005|3|5.3
17186|MAN?SA|2005|4|7.3
17186|MAN?SA|2005|5|8.1
17186|MAN?SA|2005|6|11.0
17186|MAN?SA|2005|7|11.0
17186|MAN?SA|2005|8|10.7
17186|MAN?SA|2005|9|8.8
17186|MAN?SA|2005|10|6.3
17186|MAN?SA|2005|11|3.4
17186|MAN?SA|2005|12|2.4
17186|MAN?SA|2005|13|6.7
17186|MAN?SA|2006|1|2.4
17186|MAN?SA|2006|2|2.9
17186|MAN?SA|2006|3|5.0
17186|MAN?SA|2006|4|6.2
17186|MAN?SA|2006|5|10.0
17186|MAN?SA|2006|6|10.3
17186|MAN?SA|2006|7|11.2
17186|MAN?SA|2006|8|10.9
17186|MAN?SA|2006|9|8.2
17186|MAN?SA|2006|10|4.8
17186|MAN?SA|2006|11|4.7
17186|MAN?SA|2006|12|2.6
17186|MAN?SA|2006|13|6.6
17186|MAN?SA|2007|1|2.1
17186|MAN?SA|2007|2|1.5
17186|MAN?SA|2007|3|1.0
17186|MAN?SA|2007|4|1.1
17186|MAN?SA|2007|5|1.3
17186|MAN?SA|2007|6|5.8
17186|MAN?SA|2007|7|4.7
17186|MAN?SA|2007|8|9.0
17186|MAN?SA|2007|9|5.4
17186|MAN?SA|2007|10|3.4
17186|MAN?SA|2007|11|2.4
17186|MAN?SA|2007|12|3.2
17186|MAN?SA|2007|13|3.5
17186|MAN?SA|2008|1|4.0
17186|MAN?SA|2008|2|4.7
17186|MAN?SA|2008|3|5.6
17186|MAN?SA|2008|4|5.3
17186|MAN?SA|2008|5|9.0
17186|MAN?SA|2008|6|10.7
17186|MAN?SA|2008|7|11.1
17186|MAN?SA|2008|8|10.3
17186|MAN?SA|2008|9|7.9
17186|MAN?SA|2008|10|7.0
17186|MAN?SA|2008|11|4.4
17186|MAN?SA|2008|12|1.4
17186|MAN?SA|2008|13|6.8
17186|MAN?SA|2009|3|2.5
17186|MAN?SA|2009|4|2.9
17186|MAN?SA|2009|5|6.5
17186|MAN?SA|2009|6|10.5
17186|MAN?SA|2009|7|10.4
17186|MAN?SA|2009|8|10.6
17186|MAN?SA|2009|9|7.7
17186|MAN?SA|2009|10|6.0
17186|MAN?SA|2009|11|4.0
17186|MAN?SA|2009|12|1.1
17186|MAN?SA|2009|13|5.5
17186|MAN?SA|2010|2|1.6
17186|MAN?SA|2010|3|6.6
17186|MAN?SA|2010|4|6.9
17186|MAN?SA|2010|5|9.1
17186|MAN?SA|2010|6|8.6
17186|MAN?SA|2010|10|2.6
17186|MAN?SA|2010|11|1.5
17186|MAN?SA|2010|13|3.3
17186|MAN?SA|2011|1|0.1
17186|MAN?SA|2011|2|1.8
17186|MAN?SA|2011|3|3.2
17186|MAN?SA|2011|4|0.9
17186|MAN?SA|2011|5|0.4
17186|MAN?SA|2011|6|0.3
17186|MAN?SA|2011|7|11.2
17186|MAN?SA|2011|8|10.3
17186|MAN?SA|2011|9|8.7
17186|MAN?SA|2011|10|6.8
17186|MAN?SA|2011|11|5.3
17186|MAN?SA|2011|12|2.3
17186|MAN?SA|2011|13|4.3
17186|MAN?SA|2012|1|1.4
17186|MAN?SA|2012|2|1.1
17186|MAN?SA|2012|3|1.0
17186|MAN?SA|2012|4|0.4
17186|MAN?SA|2012|5|0.8
17186|MAN?SA|2012|6|0.4
17186|MAN?SA|2012|7|0.0
17186|MAN?SA|2012|8|0.0
17186|MAN?SA|2012|9|0.0
17186|MAN?SA|2012|10|0.0
17186|MAN?SA|2012|11|0.0
17186|MAN?SA|2012|12|0.0
17186|MAN?SA|2012|13|0.4
17186|MAN?SA|2013|1|0.0
17186|MAN?SA|2013|2|0.3
17186|MAN?SA|2013|3|0.9
17186|MAN?SA|2013|4|0.6
17186|MAN?SA|2013|5|1.0
17186|MAN?SA|2013|6|0.0
17186|MAN?SA|2013|7|0.0
17186|MAN?SA|2013|8|0.0
17186|MAN?SA|2013|9|0.0
17186|MAN?SA|2013|10|0.0
17186|MAN?SA|2013|11|0.0
17186|MAN?SA|2013|12|0.0
17186|MAN?SA|2013|13|0.2
17186|MAN?SA|2014|1|0.0
17186|MAN?SA|2014|2|0.0
17186|MAN?SA|2014|3|0.0
17186|MAN?SA|2014|4|0.0
17186|MAN?SA|2014|5|0.0
17186|MAN?SA|2014|6|0.0
17186|MAN?SA|2014|7|0.0
17186|MAN?SA|2014|8|0.0
17186|MAN?SA|2014|9|0.0
17186|MAN?SA|2014|10|0.0
17186|MAN?SA|2014|11|0.0
17186|MAN?SA|2014|12|0.0
17186|MAN?SA|2014|13|0.0
17186|MAN?SA|2015|1|0.0
17186|MAN?SA|2015|2|0.0
17186|MAN?SA|2015|3|0.0
17186|MAN?SA|2015|4|0.1
17186|MAN?SA|2015|5|0.3
17186|MAN?SA|2015|6|0.0
17186|MAN?SA|2015|7|0.0
17186|MAN?SA|2015|8|0.0
17186|MAN?SA|2015|9|0.0
17186|MAN?SA|2015|10|0.0
17186|MAN?SA|2015|11|0.0
17186|MAN?SA|2015|12|0.0
17186|MAN?SA|2015|13|0.0
17186|MAN?SA|2017|1|2.7
17186|MAN?SA|2017|2|4.1
17186|MAN?SA|2017|3|5.5
17186|MAN?SA|2017|4|7.4
17186|MAN?SA|2017|5|7.8
17186|MAN?SA|2017|6|9.2
17186|MAN?SA|2017|7|10.8
17186|MAN?SA|2017|8|9.5
17186|MAN?SA|2017|9|8.6
17186|MAN?SA|2017|10|6.7
17186|MAN?SA|2017|11|4.1
17186|MAN?SA|2017|12|2.2
17186|MAN?SA|2017|13|6.6
17186|MAN?SA|2018|1|2.5
17186|MAN?SA|2018|2|2.3
17186|MAN?SA|2018|3|5.2
17186|MAN?SA|2018|4|8.0
17186|MAN?SA|2018|5|7.4
17186|MAN?SA|2018|6|9.0
17186|MAN?SA|2018|7|10.6
17186|MAN?SA|2018|8|9.8
17186|MAN?SA|2018|9|7.9
17186|MAN?SA|2018|10|6.2
17186|MAN?SA|2018|11|3.1
17186|MAN?SA|2018|12|1.8
17186|MAN?SA|2018|13|6.2
17186|MAN?SA|2019|1|1.1
17186|MAN?SA|2019|2|4.0
17186|MAN?SA|2019|3|6.8
17186|MAN?SA|2019|4|6.5
17186|MAN?SA|2019|5|8.0
17186|MAN?SA|2019|6|9.4
17186|MAN?SA|2019|7|10.8
17186|MAN?SA|2019|8|12.2
17186|MAN?SA|2019|9|10.2
17186|MAN?SA|2019|10|7.8
17186|MAN?SA|2019|11|4.2
17186|MAN?SA|2019|12|2.8
17186|MAN?SA|2019|13|7.0
17186|MAN?SA|2020|1|4.4
17186|MAN?SA|2020|2|5.3
17186|MAN?SA|2020|3|5.7
17186|MAN?SA|2020|4|8.1
17186|MAN?SA|2020|5|9.0
17186|MAN?SA|2020|6|10.8
17186|MAN?SA|2020|7|10.6
17186|MAN?SA|2020|8|9.1
17186|MAN?SA|2020|9|8.8
17186|MAN?SA|2020|10|6.1
17186|MAN?SA|2020|11|4.3
17186|MAN?SA|2020|12|1.5
17186|MAN?SA|2020|13|7.0
17186|MAN?SA|2021|1|1.5
17186|MAN?SA|2021|2|4.8
17186|MAN?SA|2021|3|5.3
17186|MAN?SA|2021|4|5.2
17186|MAN?SA|2021|5|8.9
17186|MAN?SA|2021|6|8.1
17227|AYDIN ?ILDIR HAVAL?MANI|2010|5|0.0
17227|AYDIN ?ILDIR HAVAL?MANI|2010|6|5.5
17227|AYDIN ?ILDIR HAVAL?MANI|2010|7|6.7
17227|AYDIN ?ILDIR HAVAL?MANI|2010|8|3.4
